id,text
b1nota1,"Los quipus eran sistemas de cuerdas con nudos utilizados por los incas y otras culturas andinas para registrar información. A través de la posición, tipo y cantidad de nudos, se representaban números y datos relacionados con censos, tributos, cosechas y otros aspectos administrativos."
b1nota2,"Los glifos mesoamericanos eran símbolos utilizados por antiguas culturas como los mayas y los mexicas para representar palabras, sonidos e ideas. Formaban sistemas de escritura complejos que combinaban elementos fonéticos y logográficos."
b3nota1,"Se refiere a Paris, criado como pastor en el monte Ida para evitar una profecía que decía que causaría la caída de Troya. "
b3nota2,"En algunos textos literarios y satíricos del Siglo de Oro, la Bizca es una forma irónica de referirse a Venus, la diosa del amor, destacando cómo su poder de seducción trasciende los cánones clásicos de belleza."
b3nota3,"Vulcano, el dios romano del fuego y la forja, era representado como un herrero cojo."
b4nota1,"En la mitología griega, los Campos Elíseos eran el lugar del más allá reservado para las almas virtuosas y heroicas."
b6nota1,"El Virreinato del Perú, establecido en 1542, fue uno de los más importantes de la América colonial española, abarcando vastos territorios que incluían gran parte de Sudamérica. "
b6nota2,La leyenda de San Borondón refería a una novena isla canaria que 'aparecía' entre las nubes de vez en cuando entre La Palma y el Hierro. Varios mapas medievales la situaban en el archipiélago canario.
b8nota1,fortificaciones en forma de pequeñas villas
b8nota2,clavija de cobre o bronce con que se tapa el chile de la pólvora
c1nota1,"Tambien conocido como Jabeque, es una embarcación de vela mediterránea con tres palos y velas latinas, aunque también podía propulsarse con remos. Originalmente era un barco pesquero de origen árabe surgido en el siglo XV, pero evolucionó y se utilizó tanto para el transporte de mercancías como en la guerra"
c1nota2,"Antigua embarcación de considerables dimensiones, generalmente de vela."
c1nota3,El campo o tierra que esta a la salida del lugar que no se planta ni se labra y es comun para todos los vecinos
c1nota4,"Tienda donde se venden artículos de uso cotidiano, principalmente comestibles."
c1nota5,"Pereza, haraganería, flojedad o aversión al trabajo."
c2nota1,Termino de origen portugues que se utilizaba para referirse a los guachos que habitaron por primera vez la zona del Rio de la Plata
c2nota2,"Aquellos que siendo parte de la comunidad monástica, no tienen opción a las sagradas ordenes (por ej. no son monjes)."
c2nota3,Personas que han entrado por sirvientes en una orden o congregración religiosa. 
c3nota1,"Dotar, proveer, equipar algo."
c3nota2,Ir de un lado a otro con cualquier ocupación o actividad.
c4nota1,Los merinos son un tipo de oveja domestica originaria de España
c5nota1,Coplas son composiciones poeticas breves de cuatros versos que se caracterizan por contar con un lenguaje simple y coloquial
c6nota1,"Cabestro hace referencia a un buey manso que sirve de guia a las reservas bravas, principalmente en un encierro"
