objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
español,,Acta de la declaración Independencia de las Provincias Unidas del Sur en español,,Congreso de las Provincias Unidas en Sud-América,Imprenta de Gandarillas y socios,1816,Acta de la declaración Independencia de las Provincias Unidas del Sur en español,independencia; provincias unidas del sur,Tucumán,-26.81666667,-65.21666667,Archivo General de la Nación,,,,,,español,transcripciones,,/objects/small/acta_sp_ay_1.jpg,/objects/thumbs/acta_sp_ay_1.jpg,,/objects/transcripciones/español.html
español_p1,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_1.jpg,/objects/small/acta_sp_ay_1.jpg,/objects/thumbs/acta_sp_ay_1.jpg,,
español_p2,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_2.jpg,/objects/small/acta_sp_ay_2.jpg,/objects/thumbs/acta_sp_ay_2.jpg,,
español_p3,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_3.jpg,/objects/small/acta_sp_ay_3.jpg,/objects/thumbs/acta_sp_ay_3.jpg,,
español_p4,español,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_4.jpg,/objects/small/acta_sp_ay_4.jpg,/objects/thumbs/acta_sp_ay_4.jpg,,
aymara,,Acta de la declaración Independencia de las Provincias Unidas del Sur en aymara,,Congreso de las Provincias Unidas en Sud-América,Imprenta de Gandarillas y socios,1816,Acta de la declaración Independencia de las Provincias Unidas del Sur en aymara,independencia; provincias unidas del sur,Tucumán,-26.81666667,-65.21666667,Archivo General de la Nación,,,,,,aymara,transcripciones,,/objects/small/acta_sp_ay_1.jpg,/objects/thumbs/acta_sp_ay_1.jpg,,/objects/transcripciones/aymara.html
aymara_p1,aymara,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_1.jpg,/objects/small/acta_sp_ay_1.jpg,/objects/thumbs/acta_sp_ay_1.jpg,,
aymara_p2,aymara,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_2.jpg,/objects/small/acta_sp_ay_2.jpg,/objects/thumbs/acta_sp_ay_2.jpg,,
aymara_p3,aymara,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_3.jpg,/objects/small/acta_sp_ay_3.jpg,/objects/thumbs/acta_sp_ay_3.jpg,,
aymara_p4,aymara,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_ay_4.jpg,/objects/small/acta_sp_ay_4.jpg,/objects/thumbs/acta_sp_ay_4.jpg,,
quechua,,Acta de la declaración Independencia de las Provincias Unidas del Sur en quechua,,Congreso de las Provincias Unidas en Sud-América,Imprenta de Gandarillas y socios,1816,Acta de la declaración Independencia de las Provincias Unidas del Sur en quechua,independencia; provincias unidas del sur,Tucumán,-26.81666667,-65.21666667,Archivo General de la Nación,,,,,,quechua,transcripciones,,/objects/small/acta_sp_que_1.jpg,/objects/thumbs/acta_sp_que_1.jpg,,/objects/transcripciones/quechua.html
quechua_p1,quechua,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_que_1.jpg,/objects/small/acta_sp_que_1.jpg,/objects/thumbs/acta_sp_que_1.jpg,,
quechua_p2,quechua,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_que_2.jpg,/objects/small/acta_sp_que_2.jpg,/objects/thumbs/acta_sp_que_2.jpg,,
quechua_p3,quechua,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/acta_sp_que_3.jpg,/objects/small/acta_sp_que_3.jpg,/objects/thumbs/acta_sp_que_13jpg,,
